Species	Extant	SampT
t2	FALSE	91.02285812246394
t2	FALSE	88.17338377141937
t2	FALSE	87.5163113685866
t3	FALSE	71.10599529650975
t4	FALSE	64.63369071252541
t4	FALSE	63.292930130628896
t4	FALSE	63.16307420667375
t6	FALSE	40.274204056590904
t6	FALSE	36.78945342439424
t7	FALSE	39.752343621964826
t9	TRUE	29.377544922926035
t9	TRUE	25.236817021094765
t9	TRUE	14.631817713551726
t9	TRUE	11.646126490258183
t10	FALSE	77.48548346758801
t11	FALSE	78.22688853369249
t13	FALSE	82.72207289584641
t14	FALSE	75.1160224770267
t14	FALSE	66.46781772445226
t15	FALSE	68.46714906467736
t19	FALSE	83.68778331774068
t19	FALSE	74.64246448698235
t20	FALSE	75.05603209977778
t21	FALSE	55.7475212960691
t21	FALSE	47.106309253648
t21	FALSE	45.46082152782114
t21	FALSE	35.82050648314984
t25	FALSE	64.72276950199111
t27	FALSE	34.5421692020021
t29	FALSE	53.17947709717627
t33	FALSE	26.97903272600024
t34	FALSE	60.782173351905044
t34	FALSE	60.04839169937998
t34	FALSE	59.94307286251217
t36	FALSE	38.22434857662533
t37	FALSE	62.40793122309822
t39	FALSE	43.09679916661465
t39	FALSE	41.27139485042775
t41	TRUE	12.840343161556603
t42	TRUE	28.60159162175667
t42	TRUE	23.147919752866144
t42	TRUE	13.245837862834449
t42	TRUE	6.5906628308770365
t43	FALSE	54.5413955348046
t43	FALSE	31.941094497170937
t43	FALSE	26.004602925247696
t44	FALSE	42.87965047734431
t46	TRUE	19.527650008082674
t48	FALSE	31.97256875464315
t48	FALSE	18.286649521976656
t48	FALSE	9.245524576470203
t50	FALSE	27.093834826341833
t50	FALSE	26.017749383502746
t53	TRUE	24.66243406967085
t53	TRUE	17.673050660871084
t53	TRUE	6.699606871463473
t53	TRUE	3.7074956039414957
t53	TRUE	0.6878124490999369
t54	FALSE	30.37838023214202
t57	TRUE	4.436422960207025
t59	FALSE	57.06621024306608
t61	FALSE	56.9695219060509
t61	FALSE	40.56225117734931
t62	FALSE	48.82912157877918
t62	FALSE	41.539545438919745
t62	FALSE	28.19025241557189
t66	TRUE	26.10689377437845
t66	TRUE	13.75048747879589
t67	FALSE	49.382689939121704
t68	FALSE	35.62711244911894
t69	FALSE	25.76070360418595
t72	TRUE	21.142334096511036
t72	TRUE	20.94815674834433
t73	TRUE	44.98675983632761
t73	TRUE	41.32717693458157
t73	TRUE	7.527192103681429
t74	FALSE	11.924874265919456
t74	FALSE	10.239407384816815
t76	TRUE	19.09753325603934
t76	TRUE	13.864579390130075
