Species	Extant	SampT
t1	FALSE	93.47779072415571
t1	FALSE	89.1991799656723
t2	FALSE	89.79521640212862
t4	FALSE	79.9498870750399
t7	FALSE	69.26186345661745
t9	FALSE	61.40245402657174
t11	FALSE	67.53532257656468
t11	FALSE	63.58538642630613
t11	FALSE	48.03510746176254
t11	FALSE	47.159254917545304
t11	FALSE	33.05002863942478
t12	TRUE	32.6465615808425
t14	FALSE	29.853776152902157
t15	FALSE	38.0555434949969
t15	FALSE	23.96673504871451
t16	FALSE	63.29303841303724
t16	FALSE	62.07119970779556
t17	TRUE	43.40033556263632
t19	FALSE	28.854563181672503
t19	FALSE	17.592014774132778
t21	TRUE	43.29025182806603
t21	TRUE	21.597853247252374
t21	TRUE	9.37095874006775
t21	TRUE	4.653711168329195
t22	TRUE	12.580456429814319
t23	FALSE	30.150280691285232
t23	FALSE	29.43551714316125
t23	FALSE	3.4905064603305647
t25	FALSE	63.14752634526546
t25	FALSE	57.60183432982619
t25	FALSE	54.091887268551254
t27	FALSE	45.10853891256781
t27	FALSE	44.726888900581315
t30	FALSE	38.609704254153684
t30	FALSE	32.69664924587639
t30	FALSE	28.221106575760558
t30	FALSE	24.63822935703726
t30	FALSE	23.323950300893458
t31	FALSE	51.526376147065
t34	FALSE	34.652781768277194
t34	FALSE	24.590253236278798
t34	FALSE	13.055223331361915
t34	FALSE	10.451940220579544
t35	TRUE	53.4021815384544
t35	TRUE	42.13643706466924
t35	TRUE	39.97548922028314
t35	TRUE	30.014372058845268
t35	TRUE	20.782047464213477
t35	TRUE	15.283748343012235
t36	TRUE	33.267838392428914
t36	TRUE	27.47424114125208
t36	TRUE	23.812598982848087
t36	TRUE	19.368678364924946
t36	TRUE	6.661739736817637
t42	FALSE	43.107128417589195
t42	FALSE	42.722579243820235
t42	FALSE	24.822292126851366
t42	FALSE	21.57835051803498
t43	FALSE	34.43674496976391
t44	FALSE	46.391447817307004
t44	FALSE	17.228254675083164
t47	TRUE	35.52659585060752
t48	FALSE	22.255042204254508
t48	FALSE	13.017497351014256
t49	TRUE	2.949661590717511
t49	TRUE	2.051887127198057
t50	FALSE	34.558451602475884
t51	FALSE	23.527880227531384
t53	TRUE	47.74132324661794
t53	TRUE	45.82257226388636
t53	TRUE	20.56211745729604
t53	TRUE	9.737454209382918
t55	TRUE	13.581978372740593
t56	TRUE	23.911187453527177
t56	TRUE	9.6911828697271
t58	TRUE	15.782202774517245
t58	TRUE	4.882877677537508
t59	TRUE	14.393681165620691
t61	TRUE	2.8456298992423967
t64	FALSE	38.53026109703792
t69	TRUE	33.866173709864
t69	TRUE	26.83164484904168
t69	TRUE	17.980966885695437
t69	TRUE	15.341757415915112
t70	FALSE	38.675564730226995
t70	FALSE	23.610714651600773
t71	FALSE	38.09857393605384
t71	FALSE	5.811675108691304
t73	FALSE	25.04848462085559
t76	TRUE	18.11298766514537
t76	TRUE	14.3790728094271
t76	TRUE	9.484647620304543
t78	FALSE	47.34608175211185
t79	FALSE	42.47496570402714
t79	FALSE	40.72462285811039
t79	FALSE	37.31138866336974
t80	FALSE	5.332068922901385
