Species	Extant	SampT
t5	TRUE	35.37174190123084
t5	TRUE	33.89847348606283
t5	TRUE	28.04770317090744
t5	TRUE	26.024076772612275
t5	TRUE	24.944956380696382
t5	TRUE	24.49816036392876
t6	FALSE	59.502921089173824
t7	FALSE	43.809294985223644
t7	FALSE	39.69006297831728
t7	FALSE	21.48678204172967
t8	FALSE	53.597546096577375
t9	TRUE	21.151527216293218
t14	FALSE	32.56354050955891
t15	FALSE	40.718876687638215
t16	FALSE	30.051104491669548
t17	TRUE	35.57106001428793
t17	TRUE	35.0790576090617
t17	TRUE	20.804696908209294
t18	TRUE	49.5645017302152
t18	TRUE	48.9969459301349
t18	TRUE	1.4563052879263125
t19	FALSE	18.68444280402594
t19	FALSE	18.199028727993607
t19	FALSE	15.324546900972962
t19	FALSE	14.051800116720287
t21	TRUE	44.73570701914194
t21	TRUE	32.61666935148814
t21	TRUE	19.358736539512662
t22	FALSE	20.41982932020288
t22	FALSE	12.770464700252504
t24	TRUE	20.527518829764205
t24	TRUE	4.688893809325535
t24	TRUE	3.7789289014111347
t25	FALSE	13.353287841196192
t29	FALSE	16.268983644959718
t29	FALSE	7.035279016536862
t30	TRUE	16.154599541777785
t30	TRUE	6.482903647217185
t31	TRUE	2.35288804813041
t33	FALSE	43.791366788187005
t33	FALSE	35.53481484819291
t33	FALSE	29.975681948103883
t34	TRUE	13.876211811347503
t34	TRUE	6.971915551020402
t38	FALSE	37.68454769408616
t38	FALSE	19.847014936213583
t39	TRUE	16.245432904516548
t39	TRUE	0.9748730617271377
t40	FALSE	41.24118550462934
t40	FALSE	38.65126935888655
t40	FALSE	29.81984551188178
t41	TRUE	19.78571329842724
t41	TRUE	18.757678369241134
t41	TRUE	3.911828945480721
t42	TRUE	12.52339108554608
t42	TRUE	2.9658851091373606
t45	TRUE	15.968361819915557
t45	TRUE	2.9290745377615934
t47	FALSE	27.545999878605166
t56	TRUE	16.499042275182987
t56	TRUE	14.24806899093845
t58	TRUE	1.6156643370717347
t64	FALSE	16.222497656085096
t77	TRUE	10.070968152446753
t79	TRUE	1.5583920570376648
t80	FALSE	15.90257103447182
t80	FALSE	12.214373041729758
t81	TRUE	0.20388423165238123
t82	TRUE	15.999579555018542
t82	TRUE	0.9419648121491662
t84	TRUE	7.263462481089519
t86	TRUE	3.5184868010044568
t94	TRUE	20.485695479399958
t94	TRUE	6.177531758538407
t99	TRUE	12.383700281770672
t100	TRUE	6.089326437052804
t102	TRUE	7.439212851335128
t103	TRUE	12.79097315261646
t104	TRUE	8.473513041274089
t106	TRUE	11.000441698008615
t107	TRUE	4.055831535508474
t108	FALSE	5.421665616657421
t111	TRUE	12.652718257767475
t112	TRUE	12.65493997222076
t112	TRUE	2.357325328870516
t120	FALSE	6.374424323103938
t123	TRUE	1.7247795507799424
t124	TRUE	8.316319883546598
t124	TRUE	4.569629219355818
t128	TRUE	8.215554405342374
t128	TRUE	4.418398720730579
t130	TRUE	5.020525352212516
t130	TRUE	4.589197024866749
t136	TRUE	2.544020489789432
t136	TRUE	2.298822571523374
t136	TRUE	0.22676018159825162
t138	TRUE	7.505672488841725
t155	TRUE	5.013249146406864
t156	FALSE	5.328059069082258
t163	TRUE	1.5414529878458154
t169	FALSE	14.623210367226363
t170	TRUE	8.130548851615202
t170	TRUE	5.487089216759813
t173	TRUE	4.279972580891169
t173	TRUE	0.762242387436288
t178	TRUE	10.210127400279575
t182	TRUE	9.045717006723095
t191	TRUE	8.738278771048769
t191	TRUE	5.739563187813744
t191	TRUE	2.1702409677530596
t196	TRUE	1.2265496360039805
t198	TRUE	8.692285788317463
t204	TRUE	4.246157119767801
t205	TRUE	2.338105478344886
t208	TRUE	0.7056979617006789
t209	TRUE	9.75823702096794
t213	TRUE	11.75584839113921
t213	TRUE	8.8957444059305
t220	TRUE	0.7584150177722648
t230	TRUE	7.9962314349439225
t230	TRUE	4.472764702059138
t231	TRUE	3.846447766091231
t237	TRUE	9.77156004112112
t237	TRUE	8.331867004688945
t244	TRUE	4.372124452014077
t247	TRUE	0.2593966995441548
t250	TRUE	3.2035091056183376
t255	TRUE	5.158984052368922
t255	TRUE	2.575185545957922
t258	TRUE	6.007966011757972
t258	TRUE	3.717857347863756
t263	TRUE	10.579020245746179
t263	TRUE	8.069230210781498
t263	TRUE	6.8986809083417455
t266	TRUE	1.8934535189099932
t267	TRUE	6.069983530737332
t273	TRUE	4.396248882800364
t277	TRUE	6.172369086931212
t278	FALSE	10.767074689379129
t284	TRUE	4.67159902031986
t294	TRUE	4.96056185651949
t311	TRUE	3.4891454620417477
t312	TRUE	1.8582677172142184
t323	TRUE	2.593168910957999
t325	TRUE	2.972469362531214
t326	TRUE	1.114710030969718
t333	TRUE	5.8950787322258975
t344	TRUE	1.5805723398574116
t361	TRUE	1.3607626554126426
t367	TRUE	0.9235690464517177
t384	TRUE	4.032329792521438
t384	TRUE	0.9765117430578414
t402	TRUE	4.449179117763109
t404	TRUE	2.1987596416969666
t409	FALSE	4.200848545418779
t412	TRUE	4.5187456506835275
t425	TRUE	0.3073328594894633
t427	TRUE	5.081164654194112
t427	TRUE	3.849234324337644
t432	TRUE	0.4730856962990231
t435	TRUE	0.3396079652466
t437	TRUE	1.6591914039559583
t437	TRUE	0.19452478219642444
t438	TRUE	0.4544254583108227
t440	TRUE	1.0878864540876094
t445	TRUE	1.155736960272506
t454	TRUE	2.7316847775722977
t455	TRUE	3.7021595304938586
t468	TRUE	0.25100935122137
t469	TRUE	3.5700830408831337
t471	TRUE	0.35277496421188914
