Species	Extant	SampT
t2	FALSE	85.78081893625172
t2	FALSE	85.42768372239773
t3	FALSE	63.6322307351295
t4	FALSE	65.62866620049856
t4	FALSE	44.36220637868401
t4	FALSE	42.6255292906586
t5	FALSE	68.18675211097649
t7	FALSE	76.17668153476245
t8	FALSE	61.84068542256597
t9	TRUE	32.23220732618473
t9	TRUE	30.096236929263682
t9	TRUE	22.832796839963407
t9	TRUE	11.934440746869655
t9	TRUE	3.8868313160336925
t11	FALSE	64.17861397836504
t11	FALSE	46.659313900633876
t11	FALSE	21.44852539073426
t11	FALSE	18.94826818737883
t12	FALSE	52.54865874743132
t14	FALSE	51.357522181190184
t15	FALSE	49.51391075547003
t16	TRUE	54.54334266803735
t16	TRUE	15.890089315585541
t18	FALSE	9.211753697117942
t19	TRUE	28.736451460123078
t20	TRUE	25.86163692983068
t21	TRUE	33.9507132944532
t21	TRUE	18.583507511877798
t23	TRUE	15.6509855936864
t24	TRUE	4.06852760397237
t26	TRUE	61.124353370297634
t26	TRUE	42.32097951653047
t26	TRUE	37.43680652430494
t26	TRUE	28.260447841270164
t26	TRUE	27.70058633959134
t26	TRUE	18.34023124737878
t27	FALSE	32.15449889100074
t28	TRUE	8.102793118328563
t28	TRUE	7.1750529318756975
t30	FALSE	41.55346934545775
t30	FALSE	40.20426355164488
t31	FALSE	31.880373003075448
t32	FALSE	48.63251178308533
t32	FALSE	46.10844865224467
t35	TRUE	16.059041621538256
t35	TRUE	11.225195669012521
t37	FALSE	21.90588347637984
t38	FALSE	46.40450091539003
t39	FALSE	30.049510050393067
t44	TRUE	48.496857134567634
t44	TRUE	1.6811279343648948
t45	FALSE	36.87587852125843
t46	FALSE	23.37902381999892
t46	FALSE	7.405730740454345
t47	TRUE	22.317123157301324
t47	TRUE	14.95738096102454
t48	TRUE	27.674978618064827
t48	TRUE	17.54805110443563
t49	TRUE	8.780022009284139
t54	FALSE	39.699777062697265
t56	TRUE	17.021004272384445
t56	TRUE	6.336808413026731
t56	TRUE	5.517828190438593
t58	TRUE	2.893830835487705
t60	TRUE	46.2361006720485
t60	TRUE	45.87953284406381
t60	TRUE	45.48130336241143
t60	TRUE	38.98302444280403
t60	TRUE	35.17832612974216
t60	TRUE	28.957930862732425
t62	FALSE	18.53238105408849
t64	TRUE	21.79095157064043
t66	TRUE	14.158537393580303
t67	TRUE	9.73993070531182
t70	FALSE	29.04228747425411
t70	FALSE	20.452422228385558
t73	TRUE	15.147598144742773
t74	TRUE	21.237682090376495
t75	TRUE	12.800786025440573
t75	TRUE	1.2657975084989062
t77	FALSE	23.177745847053288
t77	FALSE	11.722332464552878
t78	FALSE	27.62306039725516
t80	TRUE	20.290021468756706
t80	TRUE	3.7705085256734208
t83	FALSE	33.95914138669997
t83	FALSE	28.914596330401594
t83	FALSE	28.757187581695362
t83	FALSE	16.170075497832826
t83	FALSE	10.780255393367938
t84	FALSE	28.864978830357188
t92	FALSE	17.014329163172107
t96	TRUE	37.94105399889218
t100	FALSE	26.74253256657451
t101	FALSE	28.75207278077781
t102	TRUE	12.976776214189996
t102	TRUE	9.256328103937378
t102	TRUE	4.579462183919674
t105	TRUE	9.08424146492598
t105	TRUE	4.015642468049364
t106	TRUE	0.5292757979194818
t108	TRUE	8.48710567798011
t109	TRUE	21.17058607776582
t109	TRUE	0.17846415861640708
t110	TRUE	14.688602802717952
t110	TRUE	13.480053996110229
t111	FALSE	24.38652211576793
t112	TRUE	28.32507677678423
t112	TRUE	24.91998810228887
t112	TRUE	8.568873554386286
t118	TRUE	4.433297342976857
t118	TRUE	1.0486935688018093
